modelo,familia,subfamilia,X_mm,B_mm,H_mm,FPI,motores
WED-125,dual,WED,738,684,223,6,1
WED-250,dual,WED,1100,684,223,6,2
WED-380,dual,WED,1453,684,223,6,3
WED-500,dual,WED,1811,684,273,6,4
WEF-500,frontal,WEF,647,261,412,4,1
WEF-660,frontal,WEF,1008,261,412,4,2
WEF-1130,frontal,WEF,1008,261,412,4,2
WEF-1680,frontal,WEF,1371,261,412,4,3
WEF-2170,frontal,WEF,1733,261,412,4,4
WEFM-004,frontal,WEFM,734,262,565,4,1
WEFM-006,frontal,WEFM,1185,262,565,4,2
WEFM-008,frontal,WEFM,1636,262,565,4,3
WEFM-011,frontal,WEFM,2085,262,565,4,4
